,A,B,confidence,lift,all confidence,max confidence,Kulczynski,cosine
0,{'?'},"{'republican', 'y'}",0.2871287128712871,0.001729691041393296,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
1,{'?'},"{'republican', 'n'}",0.2871287128712871,0.001729691041393296,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
2,"{'y', '?'}",{'republican'},0.2885572139303483,0.0017278875085649597,0.2885572139303483,0.3473053892215569,0.3179313015759526,0.3165714382201396
3,"{'n', '?'}",{'republican'},0.29,0.0017365269461077843,0.29,0.3473053892215569,0.31865269461077844,0.317361879995458
4,{'?'},{'republican'},0.29207920792079206,0.0017489772929388746,0.29207920792079206,0.3532934131736527,0.3226863105472224,0.3212314746151031
5,{'n'},"{'democrat', '?'}",0.3287037037037037,0.002298627298627299,0.3287037037037037,0.993006993006993,0.6608553483553483,0.5713187170092333
6,{'y'},"{'democrat', '?'}",0.3302540415704388,0.0023094688221709007,0.3302540415704388,1.0,0.6651270207852193,0.5746773369208488
7,{'republican'},"{'y', '?'}",0.3473053892215569,0.0017278875085649597,0.2885572139303483,0.3473053892215569,0.3179313015759526,0.3165714382201396
8,{'republican'},"{'n', '?'}",0.3473053892215569,0.0017365269461077845,0.29,0.3473053892215569,0.31865269461077844,0.317361879995458
9,"{'republican', 'y'}",{'?'},0.3493975903614458,0.0017296910413932961,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
10,"{'republican', 'n'}",{'?'},0.3493975903614458,0.0017296910413932961,0.2871287128712871,0.3493975903614458,0.3182631516163664,0.3167366104522986
11,{'republican'},{'?'},0.3532934131736527,0.0017489772929388748,0.29207920792079206,0.3532934131736527,0.3226863105472224,0.3212314746151031
12,{'y'},{'republican'},0.3833718244803695,0.0022956396675471225,0.3833718244803695,0.9940119760479041,0.6886919002641368,0.6173136842909142
13,{'y'},"{'republican', 'n'}",0.3833718244803695,0.0023094688221709007,0.3833718244803695,1.0,0.6916859122401847,0.6191702709920507
14,{'n'},{'republican'},0.38425925925925924,0.0023009536482590373,0.38425925925925924,0.9940119760479041,0.6891356176535817,0.6180277547254656
15,{'n'},"{'republican', 'y'}",0.38425925925925924,0.0023148148148148147,0.38425925925925924,1.0,0.6921296296296297,0.6198864890117055
16,"{'n', 'y'}",{'republican'},0.38425925925925924,0.0023009536482590373,0.38425925925925924,0.9940119760479041,0.6891356176535817,0.6180277547254656
17,{'y'},"{'n', '?'}",0.4618937644341801,0.0023094688221709007,0.4618937644341801,1.0,0.73094688221709,0.6796276660305848
18,{'n'},{'?'},0.46296296296296297,0.002291895856252292,0.46296296296296297,0.9900990099009901,0.7265309864319766,0.677037053085323
19,{'n'},"{'?', 'y'}",0.46296296296296297,0.0023032983231988206,0.46296296296296297,0.9950248756218906,0.7289939192924267,0.6787191353128068
20,"{'n', 'y'}",{'?'},0.46296296296296297,0.002291895856252292,0.46296296296296297,0.9900990099009901,0.7265309864319766,0.677037053085323
21,{'y'},{'?'},0.46420323325635104,0.0022980358081997575,0.46420323325635104,0.995049504950495,0.729626369103423,0.6796360772120262
22,{'democrat'},"{'n', '?'}",0.5318352059925093,0.002659176029962547,0.5318352059925093,0.71,0.6209176029962546,0.61449409781924
23,"{'democrat', 'n'}",{'?'},0.5338345864661654,0.0026427454775552746,0.5338345864661654,0.7029702970297029,0.6184024417479341,0.6125927340516282
24,{'democrat'},{'?'},0.5355805243445693,0.0026513887343790556,0.5355805243445693,0.7079207920792079,0.6217506582118886,0.6157504275404159
25,{'democrat'},"{'y', '?'}",0.5355805243445693,0.00266457972310731,0.5355805243445693,0.7114427860696517,0.6235116552071105,0.6172802446250368
26,"{'democrat', 'y'}",{'?'},0.5355805243445693,0.0026513887343790556,0.5355805243445693,0.7079207920792079,0.6217506582118886,0.6157504275404159
27,{'y'},"{'democrat', 'n'}",0.6143187066974596,0.0023094688221709007,0.6143187066974596,1.0,0.8071593533487298,0.7837848599567738
28,{'n'},{'democrat'},0.6157407407407407,0.0023061450964072683,0.6157407407407407,0.9962546816479401,0.8059977111943404,0.783220655782477
29,{'n'},"{'democrat', 'y'}",0.6157407407407407,0.0023061450964072683,0.6157407407407407,0.9962546816479401,0.8059977111943404,0.783220655782477
30,"{'n', 'y'}",{'democrat'},0.6157407407407407,0.0023061450964072683,0.6157407407407407,0.9962546816479401,0.8059977111943404,0.783220655782477
31,{'y'},{'democrat'},0.6166281755196305,0.0023094688221709007,0.6166281755196305,1.0,0.8083140877598152,0.7852567577038929
32,{'?'},"{'democrat', 'n'}",0.7029702970297029,0.002642745477555274,0.5338345864661654,0.7029702970297029,0.6184024417479341,0.6125927340516282
33,{'?'},{'democrat'},0.7079207920792079,0.0026513887343790556,0.5355805243445693,0.7079207920792079,0.6217506582118886,0.6157504275404159
34,{'?'},"{'democrat', 'y'}",0.7079207920792079,0.0026513887343790556,0.5355805243445693,0.7079207920792079,0.6217506582118886,0.6157504275404159
35,"{'n', '?'}",{'democrat'},0.71,0.002659176029962547,0.5318352059925093,0.71,0.6209176029962546,0.61449409781924
36,"{'y', '?'}",{'democrat'},0.7114427860696517,0.00266457972310731,0.5355805243445693,0.7114427860696517,0.6235116552071105,0.6172802446250368
37,"{'republican', '?'}",{'y'},0.9830508474576272,0.002270325282812072,0.13394919168591224,0.9830508474576272,0.5585000195717698,0.36287582780215627
38,"{'republican', '?'}",{'n'},0.9830508474576272,0.0022755806654111738,0.13425925925925927,0.9830508474576272,0.5586550533584432,0.36329558020136726
39,{'?'},{'n'},0.9900990099009901,0.0022918958562522917,0.46296296296296297,0.9900990099009901,0.7265309864319766,0.677037053085323
40,{'?'},"{'n', 'y'}",0.9900990099009901,0.0022918958562522917,0.46296296296296297,0.9900990099009901,0.7265309864319766,0.677037053085323
41,"{'democrat', '?'}",{'n'},0.993006993006993,0.002298627298627299,0.3287037037037037,0.993006993006993,0.6608553483553483,0.5713187170092333
42,{'republican'},{'y'},0.9940119760479041,0.0022956396675471225,0.3833718244803695,0.9940119760479041,0.6886919002641368,0.6173136842909142
43,{'republican'},{'n'},0.9940119760479041,0.0023009536482590373,0.38425925925925924,0.9940119760479041,0.6891356176535817,0.6180277547254656
44,{'republican'},"{'n', 'y'}",0.9940119760479041,0.0023009536482590373,0.38425925925925924,0.9940119760479041,0.6891356176535817,0.6180277547254656
45,"{'?', 'y'}",{'n'},0.9950248756218906,0.0023032983231988206,0.46296296296296297,0.9950248756218906,0.7289939192924267,0.6787191353128068
46,{'?'},{'y'},0.995049504950495,0.0022980358081997575,0.46420323325635104,0.995049504950495,0.729626369103423,0.6796360772120262
47,{'democrat'},{'n'},0.9962546816479401,0.002306145096407269,0.6157407407407407,0.9962546816479401,0.8059977111943404,0.783220655782477
48,{'democrat'},"{'n', 'y'}",0.9962546816479401,0.002306145096407269,0.6157407407407407,0.9962546816479401,0.8059977111943404,0.783220655782477
49,"{'democrat', 'y'}",{'n'},0.9962546816479401,0.002306145096407269,0.6157407407407407,0.9962546816479401,0.8059977111943404,0.783220655782477
50,{'y'},{'n'},0.9976905311778291,0.0023094688221709007,0.9976905311778291,1.0,0.9988452655889146,0.9988445981121533
51,{'n'},{'y'},1.0,0.0023094688221709007,0.9976905311778291,1.0,0.9988452655889146,0.9988445981121533
52,{'democrat'},{'y'},1.0,0.0023094688221709007,0.6166281755196305,1.0,0.8083140877598152,0.7852567577038929
53,"{'republican', 'n'}",{'y'},1.0,0.0023094688221709007,0.3833718244803695,1.0,0.6916859122401847,0.6191702709920507
54,"{'republican', 'y'}",{'n'},1.0,0.0023148148148148147,0.38425925925925924,1.0,0.6921296296296297,0.6198864890117055
55,"{'democrat', 'n'}",{'y'},1.0,0.0023094688221709007,0.6143187066974596,1.0,0.8071593533487298,0.7837848599567738
56,"{'democrat', '?'}",{'y'},1.0,0.0023094688221709007,0.3302540415704388,1.0,0.6651270207852193,0.5746773369208488
57,"{'n', '?'}",{'y'},1.0,0.0023094688221709007,0.4618937644341801,1.0,0.73094688221709,0.6796276660305848
